date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:38:40	201/201	---M-Z	200	added ('OK')	text/plain	date:Mon,%2029%20May%202017%2006:07:51%20GMT	http://arya.rime.co/robots.txt		(from )
11:38:42	46640/46640	---M-Z	200	added ('OK')	text/html	date:Thu,%2001%20Jun%202017%2006:08:40%20GMT	http://arya.rime.co/	C:/My%20Web%20Sites/arya/arya.rime.co/index.html	(from )
11:38:55	192/192	---M--	200	added ('OK')	application/javascript	etag:%22da7f878b7c0e6131b525a300cbb0d25d%22	/rime.s3.amazonaws.com/static/js/data-layer-analytics.da7f878b7c0e.js	C:/My%20Web%20Sites/arya/rime.s3.amazonaws.com/static/js/data-layer-analytics.da7f878b7c0e.js	(from http://arya.rime.co/)
11:39:02	145974/145974	---M--	200	added ('OK')	text/css	etag:%220d6f982f13078234bbbf3306c6d1de0c%22	/rime.s3.amazonaws.com/static/css/blog.min.47dbf597ad9c.css	C:/My%20Web%20Sites/arya/rime.s3.amazonaws.com/static/css/blog.min.47dbf597ad9c.css	(from http://arya.rime.co/)
11:39:04	334/334	---M--	200	added ('OK')	application/javascript	etag:%22b3d95b132a76bb456e66dfb1ebf3020a%22	/rime.s3.amazonaws.com/static/js/gtm.d797bb14a102.js	C:/My%20Web%20Sites/arya/rime.s3.amazonaws.com/static/js/gtm.d797bb14a102.js	(from http://arya.rime.co/)
11:39:09	27522/27522	---M-Z	200	added ('OK')	text/html	date:Thu,%2001%20Jun%202017%2006:09:08%20GMT	http://arya.rime.co/collections	C:/My%20Web%20Sites/arya/arya.rime.co/collections.html	(from http://arya.rime.co/)
11:39:09	146038/146038	---M--	200	added ('OK')	text/css	etag:%22853b3706b22805f491349aef49ddbc8c%22	/rime.s3.amazonaws.com/static/css/print.min.16a557f5ce8f.css	C:/My%20Web%20Sites/arya/rime.s3.amazonaws.com/static/css/print.min.16a557f5ce8f.css	(from http://arya.rime.co/)
11:39:11	21338/21338	---M-Z	200	added ('OK')	text/html	date:Thu,%2001%20Jun%202017%2006:09:10%20GMT	http://arya.rime.co/topics	C:/My%20Web%20Sites/arya/arya.rime.co/topics.html	(from http://arya.rime.co/)
11:39:13	19609/19609	---M-Z	200	added ('OK')	text/html	date:Thu,%2001%20Jun%202017%2006:09:12%20GMT	http://arya.rime.co/about	C:/My%20Web%20Sites/arya/arya.rime.co/about.html	(from http://arya.rime.co/)
11:39:23	0/0	---M--	307	error ('Temporary%20Redirect')	text/html	date:Thu,%2001%20Jun%202017%2006:09:15%20GMT	http://arya.rime.co/random	C:/My%20Web%20Sites/arya/arya.rime.co/random.7.delayed	(from http://arya.rime.co/)
11:39:24	7392/7392	---M-Z	200	added ('OK')	text/xml	date:Thu,%2001%20Jun%202017%2006:09:23%20GMT	http://arya.rime.co/rss	C:/My%20Web%20Sites/arya/arya.rime.co/rss	(from http://arya.rime.co/)
11:39:27	9011/9011	---M--	200	added ('OK')	image/jpeg	date:Wed,%2031%20May%202017%2023:17:55%20GMT	https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/18808975_1535884823153626_5926438802666029056_n.jpg	C:/My%20Web%20Sites/arya/scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/18808975_1535884823153626_5926438802666029056_n.jpg	(from http://arya.rime.co/)
11:39:29	30510/30510	---M-Z	200	added ('OK')	text/html	date:Thu,%2001%20Jun%202017%2006:09:28%20GMT	http://arya.rime.co/Twitter-photo-Hi-HelloIamArya-ARYAarya_rime-Hi-Source-TwitterWeb-Client~854998	C:/My%20Web%20Sites/arya/arya.rime.co/Twitter-photo-Hi-HelloIamArya-ARYAarya_rime-Hi-Source-TwitterWeb-Client_854998.html	(from http://arya.rime.co/)
11:39:29	36643/36643	---M-Z	200	added ('OK')	text/html	date:Thu,%2001%20Jun%202017%2006:09:28%20GMT	http://arya.rime.co/Instagram-photo-A-person-should-never-stop-learning-So-am-I-intelligence-iamdoinglearning-google-follow4f-A-person-should-never-stop-learning-So-am-I-intelligence-iamdoinglearning-google-follow4follow~854929	C:/My%20Web%20Sites/arya/arya.rime.co/Instagram-photo-A-person-should-never-stop-learning-So-am-I-intelligence-iamdoinglearning-google-follow4f-A-person-should-never-stop-learning-So-am-I-intelligence-iamdoinglearning-google-follow4follow_8	(from http://arya.rime.co/)
11:39:31	29562/29562	---M--	200	added ('OK')	image/jpeg	date:Wed,%2031%20May%202017%2022:19:42%20GMT	https://pbs.twimg.com/media/DBMDKd7VwAAxTGt.jpg	C:/My%20Web%20Sites/arya/pbs.twimg.com/media/DBMDKd7VwAAxTGt.jpg	(from http://arya.rime.co/)
11:39:32	29497/29497	---M-Z	200	added ('OK')	text/html	date:Thu,%2001%20Jun%202017%2006:09:31%20GMT	http://arya.rime.co/Tumblr-article-Hello-world~854930	C:/My%20Web%20Sites/arya/arya.rime.co/Tumblr-article-Hello-world_854930.html	(from http://arya.rime.co/)
11:39:34	25825/25825	---M-Z	200	added ('OK')	text/html	date:Thu,%2001%20Jun%202017%2006:09:33%20GMT	http://arya.rime.co/Twitter-photo-Hello-I-am-Arya-Hello-I-am-Arya-Source-Twitter-Web-Client~854999	C:/My%20Web%20Sites/arya/arya.rime.co/Twitter-photo-Hello-I-am-Arya-Hello-I-am-Arya-Source-Twitter-Web-Client_854999.html	(from http://arya.rime.co/)
11:39:36	24457/24457	---M-Z	200	added ('OK')	text/html	date:Thu,%2001%20Jun%202017%2006:09:35%20GMT	http://arya.rime.co/Twitter-quote-Its-my-first-voice-to-the-world-Its-my-first-voice-to-the-world-Source-Twitter-Web-Client~855000	C:/My%20Web%20Sites/arya/arya.rime.co/Twitter-quote-Its-my-first-voice-to-the-world-Its-my-first-voice-to-the-world-Source-Twitter-Web-Client_855000.html	(from http://arya.rime.co/)
11:39:40	3414/3414	---M--	200	added ('OK')	text/css	etag:%2260e4567e079116cd72015b23322b0052%22	/rime.s3.amazonaws.com/static/fonts/fontello-5089ef83/css/fontello.css	C:/My%20Web%20Sites/arya/rime.s3.amazonaws.com/static/fonts/fontello-5089ef83/css/fontello.css	(from http://arya.rime.co/)
11:39:48	0/-1	---M--	307	error ('')			http://arya.rime.co/random	C:/My%20Web%20Sites/arya/arya.rime.co/random.13.delayed	(from http://arya.rime.co/collections)
